[08-Nov-2019 03:25:03 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 104
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 106
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:05 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:05 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
